Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
76,VAFB,Zuma,C,LEO,"<a class=""mw-redirect"" href=""/wiki/Comisi%C3%B3n_Nacional_de_Actividades_Espaciales"" title=""Comisión Nacional de Actividades Espaciales"">CONAE</a>",Success,,Success,23 December 2017,01:27
77,CCAFS,GovSat-1,"4,230 kg",GTO,"<a href=""/wiki/Es%27hailSat"" title=""Es'hailSat"">Es'hailSat</a>",Success,,Success,8 January 2018,01:00
78,CCAFS,Paz,"2,150 kg",SSO,"<a href=""/wiki/Spaceflight_Industries"" title=""Spaceflight Industries"">Spaceflight Industries</a>",Success,,Success,31 January 2018,21:25
79,VAFB,Hispasat 30W-6,"6,092 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Failure,22 February 2018,14:17
80,CCAFS,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>",Success,,No attempt,6 March 2018,05:33
81,VAFB,SpaceX CRS-14,"2,647 kg",LEO,"<a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>","Success
",,Success,30 March 2018,14:14
82,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,"<a href=""/wiki/PT_Pasifik_Satelit_Nusantara"" title=""PT Pasifik Satelit Nusantara"">PSN</a>","Success
",,Success,2 April 2018,20:30
83,CCAFS,Bangabandhu-1,"3,600 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,18 April 2018,22:51
84,KSC,Iridium NEXT,"6,460 kg",Polar,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,11 May 2018,20:14
85,VAFB,SES-12,"5,384 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,22 May 2018,19:47
86,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,"<a href=""/wiki/Canadian_Space_Agency"" title=""Canadian Space Agency"">Canadian Space Agency</a>","Success
",,Success,4 June 2018,04:45
87,CCAFS,Telstar 19V,"7,075 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,29 June 2018,09:42
88,CCAFS,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/Spacecom"" title=""Spacecom"">Spacecom</a>","Success
",,No attempt,22 July 2018,05:50
89,VAFB,Merah Putih,"5,800 kg",GTO,"<a href=""/wiki/Spacecom"" title=""Spacecom"">SpaceX</a>","Success
",,Success,25 July 2018,11:39
90,CCAFS,Telstar 18V,"7,060 kg",GTO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,7 August 2018,05:18
91,CCAFS,SAOCOM 1A,"3,000 kg",SSO,"<a class=""mw-redirect"" href=""/wiki/SKY_Perfect_JSAT_Group"" title=""SKY Perfect JSAT Group"">Sky Perfect JSAT</a>","Success
",,Success,10 September 2018,04:45
92,VAFB,Es'hail 2,"5,300 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,8 October 2018,02:22
93,KSC,SSO-A,"~4,000 kg",SSO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,"No attempt
",15 November 2018,20:46
94,VAFB,SpaceX CRS-16,"2,500 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,3 December 2018,18:34:05
95,CCAFS,GPS III,"4,400 kg",MEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Failure,5 December 2018,18:16
96,CCAFS,Iridium NEXT,"9,600 kg",Polar,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,23 December 2018,13:51
97,VAFB,Nusantara Satu,"4,850 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Failure,11 January 2019,15:31
98,CCAFS,Crew Dragon Demo-1,"12,055 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,22 February 2019,01:45
99,KSC,SpaceX CRS-17,"2,495 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,2 March 2019,07:49
100,CCAFS,Starlink,"13,620 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,4 May 2019,06:48
101,CCAFS,RADARSAT Constellation,"4,200 kg",SSO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,24 May 2019,02:30
102,VAFB,SpaceX CRS-18,"2,268 kg",LEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">U.S. Space Force</a>","Success
",,Success,12 June 2019,14:17
103,CCAFS,AMOS-17,"6,500 kg",GTO,"<a href=""/wiki/Republic_of_Korea_Army"" title=""Republic of Korea Army"">Republic of Korea Army</a>","Success
",,Success,25 July 2019,22:01
104,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,6 August 2019,23:23
105,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,11 November 2019,14:56
106,CCAFS,JCSat-18,"6,956 kg",GTO,"<a class=""mw-redirect"" href=""/wiki/CONAE"" title=""CONAE"">CONAE</a>","Success
",,Success,5 December 2019,17:29
107,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,17 December 2019,00:10
108,CCAFS,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,7 January 2020,02:19:21
109,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,19 January 2020,15:30
110,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,29 January 2020,14:07
111,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,"<a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">USSF</a>","Success
",,Success,17 February 2020,15:05
112,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,7 March 2020,04:50
113,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,18 March 2020,12:16
114,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,22 April 2020,19:30
115,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,30 May 2020,19:22
116,CCAFS,Starlink,"15,410 kg",LEO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>","Success
",,Success,4 June 2020,01:25
117,CCAFS,GPS III,"4,311 kg",MEO,"<a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>","Success
",,Success,13 June 2020,09:21
118,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,"<a href=""/wiki/T%C3%BCrksat_(company)"" title=""Türksat (company)"">Türksat</a>","Success
",,Success,30 June 2020,20:10:46
119,CCAFS,Starlink,"14,932 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,20 July 2020,21:30
120,KSC,Starlink,"~15,440 kg",LEO,Various,"Success
",,Success,7 August 2020,05:12
121,CCAFS,SAOCOM 1B,"3,130 kg",SSO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,18 August 2020,14:31
1,CCAFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Failure,30 August 2020,23:18
2,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,3 September 2020,12:46:14
3,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,6 October 2020,11:29:34
4,KSC,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,18 October 2020,12:25:57
5,CCAFS,GPS III,"4,311 kg",MEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,24 October 2020,15:31:34
6,CCAFS,Crew-1,"~12,500 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,5 November 2020,23:24:23
7,KSC,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,16 November 2020,00:27
8,VAFB,Starlink,"15,600 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,21 November 2020,17:17:08
9,CCAFS,SpaceX CRS-21,"2,972 kg",LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,25 November 2020,02:13
10,KSC,SXM-7,"7,000 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,6 December 2020,16:17:08
11,CCSFS,NROL-108,C,LEO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,13 December 2020,17:30:00
12,KSC,Türksat 5A,"3,500 kg",GTO,"<a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>","Success
",,Success,19 December 2020,14:00:00
13,CCSFS,Starlink,"15,600 kg",LEO,"<a href=""/wiki/NASA"" title=""NASA"">NASA</a>","Success
",,Success,8 January 2021,02:15
14,KSC,Transporter-1,"~5,000 kg",SSO,"<a href=""/wiki/Sirius_XM"" title=""Sirius XM"">Sirius XM</a>","Success
",,Success,20 January 2021,13:02
15,CCSFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",,Failure,24 January 2021,15:00
16,CCAFS,Dragon,0,LEO,NASA,Success,,Failure,4 June 2010,18:45
17,CCAFS,Dragon,525 kg,LEO,NASA,Success,,"No attempt
",8 December 2010,15:43
18,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",,No attempt,22 May 2012,07:44
19,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",,"No attempt
",8 October 2012,00:35
20,CCAFS,CASSIOPE,500 kg,LEO,MDA,Success,,Uncontrolled,1 March 2013,15:10
21,VAFB,SES-8,"3,170 kg",LEO,SES,Success,,No attempt,29 September 2013,16:00
22,CCAFS,Thaicom 6,"3,325 kg",LEO,Thaicom,Success,,No attempt,3 December 2013,22:41
23,CCAFS,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",,Controlled,6 January 2014,22:06
24,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,,Controlled,18 April 2014,19:25
25,Cape Canaveral,AsiaSat 8,"4,535 kg",LEO,AsiaSat,Success,,No attempt,14 July 2014,15:15
26,Cape Canaveral,AsiaSat 6,"4,428 kg",LEO,AsiaSat,Success,,"No attempt
",5 August 2014,08:00
27,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,,Uncontrolled,7 September 2014,05:00
28,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,,Failure ,21 September 2014,05:52
29,Cape Canaveral,DSCOVR,570 kg,GTO,USAF,"Success
",,Controlled,10 January 2015,09:47
30,Cape Canaveral,ABS-3A,"4,159 kg",LEO,ABS,"Success
",,No attempt,11 February 2015,23:03
31,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",,Failure,2 March 2015,03:50
32,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",LEO,,"Success
",,No attempt,14 April 2015,20:10
33,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,,Precluded,27 April 2015,23:03
34,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",,Success,28 June 2015,14:21
35,Cape Canaveral,Jason-3,553 kg,Polar orbit,NASA,"Success
",,Failure,22 December 2015,01:29
36,VAFB,SES-9,"5,271 kg",GTO,SES,"Success
",,Failure,17 January 2016,18:42
37,Cape Canaveral,SpaceX CRS-8,"3,136 kg",GTO,NASA,Success,,Success,4 March 2016,23:35
38,Cape Canaveral,JCSAT-14,"4,696 kg",LEO,SKY Perfect JSAT Group,"Success
",,Success,8 April 2016,20:43
39,Cape Canaveral,Thaicom 8,"3,100 kg",LEO,Thaicom,"Success
",,Success,6 May 2016,05:21
40,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",,Failure,27 May 2016,21:39
41,Cape Canaveral,SpaceX CRS-9,"2,257 kg",GTO,NASA,"Success
",,Success,15 June 2016,14:29
42,Cape Canaveral,JCSAT-16,"4,600 kg",LEO,SKY Perfect JSAT Group,"Success
",,Success,18 July 2016,04:45
43,Cape Canaveral,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",,Success,14 August 2016,05:26
44,VAFB,SpaceX CRS-10,"2,490 kg",HEO,NASA,"Success
",,Success,14 January 2017,17:54
45,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",,No attempt,19 February 2017,14:39
46,KSC,SES-10,"5,300 kg",LEO,SES,Success,,Success,16 March 2017,06:00
47,KSC,NROL-76,C,GTO,NRO,"Success
",,Success,30 March 2017,22:27
48,KSC,Inmarsat-5 F4,"6,070 kg",LEO,Inmarsat,"Success
",,No attempt,1 May 2017,11:15
49,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",,Success,15 May 2017,23:21
50,KSC,BulgariaSat-1,"3,669 kg",LEO,Bulsatcom,"Success
",,Success,3 June 2017,21:07
51,KSC,Iridium NEXT,"9,600 kg",GTO,Iridium Communications,"Success
",,Success,23 June 2017,19:10
52,VAFB,Intelsat 35e,"6,761 kg",LEO,Intelsat,"Success
",,No attempt,25 June 2017,20:25
53,KSC,SpaceX CRS-12,"3,310 kg",GTO,NASA,"Success
",,Success,5 July 2017,23:38
54,KSC,Formosat-5,475 kg,GTO,NSPO,"Success
",,Success,14 August 2017,16:31
55,VAFB,Boeing X-37B,"4,990 kg",GTO,USAF,"Success
",,Success,24 August 2017,18:51
56,KSC,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",,Success,7 September 2017,14:00
57,VAFB,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",,Success,9 October 2017,12:37
58,KSC,Koreasat 5A,"3,500 kg",Polar,KT Corporation,"Success
",,Success,11 October 2017,22:53:00
59,KSC,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",,Success,30 October 2017,19:34
60,Cape Canaveral,Iridium NEXT,"9,600 kg",GTO,Iridium Communications,Success,,Controlled,15 December 2017,15:36
61,VAFB,Zuma,C,GTO,Northrop Grumman,Success,,Success,23 December 2017,01:27
62,CCAFS,GovSat-1,"4,230 kg",LEO,SES,Success,,Controlled,8 January 2018,01:00
63,CCAFS,Paz,"2,150 kg",GTO,Hisdesat,Success,,No attempt,31 January 2018,21:25
64,VAFB,Hispasat 30W-6,"6,092 kg",LEO,Hispasat,Success,,No attempt,22 February 2018,14:17
65,CCAFS,Iridium NEXT,"9,600 kg",GTO,Iridium Communications,Success,,No attempt,6 March 2018,05:33
66,VAFB,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,,No attempt,30 March 2018,14:14
67,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,GTO,NASA,Success,,Success,2 April 2018,20:30
68,CCAFS,Bangabandhu-1,"3,600 kg",LEO,Thales-Alenia,Success,,Success,18 April 2018,22:51
69,KSC,Iridium NEXT,"6,460 kg",SSO,Iridium Communications,Success,,No attempt,11 May 2018,20:14
70,VAFB,SES-12,"5,384 kg",LEO,SES,Success,,No attempt,22 May 2018,19:47
71,CCAFS,SpaceX CRS-15,"2,697 kg",Polar,NASA,Success,,No attempt,4 June 2018,04:45
72,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,,Success,29 June 2018,09:42
73,CCAFS,Iridium NEXT,"9,600 kg",GTO,Iridium Communications,Success,,Success,22 July 2018,05:50
74,VAFB,Merah Putih,"5,800 kg",LEO,Telkom Indonesia,Success,,Success,25 July 2018,11:39
75,CCAFS,Telstar 18V,"7,060 kg",Polar,Telesat,Success,,Success,7 August 2018,05:18
76,CCAFS,SAOCOM 1A,"3,000 kg",LEO,CONAE,Success,,Success,10 September 2018,04:45
77,VAFB,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,,Success,8 October 2018,02:22
78,KSC,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,,Success,15 November 2018,20:46
79,VAFB,SpaceX CRS-16,"2,500 kg",GTO,NASA,"Success
",,Failure,3 December 2018,18:34:05
80,CCAFS,GPS III,"4,400 kg",Polar,USAF,Success,,No attempt,5 December 2018,18:16
81,CCAFS,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",,Success,23 December 2018,13:51
82,VAFB,Nusantara Satu,"4,850 kg",HEO,PSN,"Success
",,Success,11 January 2019,15:31
83,CCAFS,Crew Dragon Demo-1,"12,055 kg",GTO,NASA,"Success
",,Success,22 February 2019,01:45
84,KSC,SpaceX CRS-17,"2,495 kg",Polar,NASA,"Success
",,Success,2 March 2019,07:49
85,CCAFS,Starlink,"13,620 kg",GTO,SpaceX,"Success
",,Success,4 May 2019,06:48
86,CCAFS,RADARSAT Constellation,"4,200 kg",LEO,Canadian Space Agency,"Success
",,Success,24 May 2019,02:30
87,VAFB,SpaceX CRS-18,"2,268 kg",GTO,NASA,"Success
",,Success,12 June 2019,14:17
88,CCAFS,AMOS-17,"6,500 kg",Polar,Spacecom,"Success
",,No attempt,25 July 2019,22:01
89,CCAFS,Starlink,"15,600 kg",GTO,SpaceX,"Success
",,Success,6 August 2019,23:23
90,CCAFS,SpaceX CRS-19,"2,617 kg",GTO,NASA,"Success
",,Success,11 November 2019,14:56
91,CCAFS,JCSat-18,"6,956 kg",SSO,Sky Perfect JSAT,"Success
",,Success,5 December 2019,17:29
92,CCAFS,Starlink,"15,600 kg",GTO,SpaceX,"Success
",,Success,17 December 2019,00:10
93,CCAFS,Crew Dragon in-flight abort test,"12,050 kg",SSO,NASA,"Success
",,"No attempt
",7 January 2020,02:19:21
94,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,19 January 2020,15:30
95,CCAFS,Starlink,"15,600 kg",MEO,SpaceX,"Success
",,Failure,29 January 2020,14:07
96,CCAFS,SpaceX CRS-20,"1,977 kg",Polar,NASA,"Success
",,Success,17 February 2020,15:05
97,CCAFS,Starlink,"15,600 kg",GTO,SpaceX,"Success
",,Failure,7 March 2020,04:50
98,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 March 2020,12:16
99,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",,Success,22 April 2020,19:30
100,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,30 May 2020,19:22
101,CCAFS,Starlink,"15,410 kg",SSO,SpaceX,"Success
",,Success,4 June 2020,01:25
102,CCAFS,GPS III,"4,311 kg",LEO,U.S. Space Force,"Success
",,Success,13 June 2020,09:21
103,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",,Success,30 June 2020,20:10:46
104,CCAFS,Starlink,"14,932 kg",LEO,SpaceX,"Success
",,Success,20 July 2020,21:30
105,KSC,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",,Success,7 August 2020,05:12
106,CCAFS,SAOCOM 1B,"3,130 kg",GTO,CONAE,"Success
",,Success,18 August 2020,14:31
1,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,30 August 2020,23:18
2,KSC,Starlink,"15,600 kg",Sub-orbital,SpaceX,"Success
",,Success,3 September 2020,12:46:14
3,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,6 October 2020,11:29:34
4,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 October 2020,12:25:57
5,CCAFS,GPS III,"4,311 kg",LEO,USSF,"Success
",,Success,24 October 2020,15:31:34
6,CCAFS,Crew-1,"~12,500 kg",LEO,NASA,"Success
",,Success,5 November 2020,23:24:23
7,KSC,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",,Success,16 November 2020,00:27
8,VAFB,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,21 November 2020,17:17:08
9,CCAFS,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",,Success,25 November 2020,02:13
10,KSC,SXM-7,"7,000 kg",LEO,Sirius XM,"Success
",,Success,6 December 2020,16:17:08
11,CCSFS,NROL-108,C,MEO,NRO,"Success
",,Success,13 December 2020,17:30:00
12,KSC,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",,Success,19 December 2020,14:00:00
13,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,8 January 2021,02:15
14,KSC,Transporter-1,"~5,000 kg",LEO,Various,"Success
",,Success,20 January 2021,13:02
15,CCSFS,Starlink,"15,600 kg",SSO,SpaceX,"Success
",,Success,24 January 2021,15:00
16,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Failure,4 June 2010,18:45
17,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,8 December 2010,15:43
18,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,22 May 2012,07:44
19,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,8 October 2012,00:35
20,KSC,Starlink,"15,600 kg",MEO,SpaceX,"Success
",,Success,1 March 2013,15:10
21,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,29 September 2013,16:00
22,CCSFS,Crew-2,"~13,000 kg",LEO,NASA,"Success
",,Success,3 December 2013,22:41
23,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,6 January 2014,22:06
24,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",,Success,18 April 2014,19:25
25,KSC,Starlink,"15,600 kg",GTO,SpaceX,"Success
",,Success,14 July 2014,15:15
26,CCSFS,Starlink,"~14,000 kg",LEO,SpaceX,"Success
",,Success,5 August 2014,08:00
27,KSC,Starlink,"15,600 kg",GTO,SpaceX,"Success
",,Success,7 September 2014,05:00
28,CCSFS,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
",,Success,21 September 2014,05:52
29,KSC,SXM-8,"7,000 kg",SSO,Sirius XM,"Success
",,Success,10 January 2015,09:47
30,CCSFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",,Failure,11 February 2015,23:03
31,CCAFS,Dragon,0,LEO,NASA,Success,,Failure,2 March 2015,03:50
32,CCAFS,Dragon,525 kg,LEO,NASA,Success,,"No attempt
",14 April 2015,20:10
33,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",,No attempt,27 April 2015,23:03
34,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",,"No attempt
",28 June 2015,14:21
35,CCAFS,CASSIOPE,500 kg,LEO,MDA,Success,,Uncontrolled,22 December 2015,01:29
36,VAFB,SES-8,"3,170 kg",LEO,SES,Success,,No attempt,17 January 2016,18:42
37,CCAFS,Thaicom 6,"3,325 kg",LEO,Thaicom,Success,,No attempt,4 March 2016,23:35
38,CCAFS,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",,Controlled,8 April 2016,20:43
39,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,,Controlled,6 May 2016,05:21
40,Cape Canaveral,AsiaSat 8,"4,535 kg",LEO,AsiaSat,Success,,No attempt,27 May 2016,21:39
41,Cape Canaveral,AsiaSat 6,"4,428 kg",LEO,AsiaSat,Success,,"No attempt
",15 June 2016,14:29
42,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,,Uncontrolled,18 July 2016,04:45
43,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,,Failure ,14 August 2016,05:26
44,Cape Canaveral,DSCOVR,570 kg,GTO,USAF,"Success
",,Controlled,14 January 2017,17:54
45,Cape Canaveral,ABS-3A,"4,159 kg",LEO,ABS,"Success
",,No attempt,19 February 2017,14:39
46,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",,Failure,16 March 2017,06:00
47,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",LEO,,"Success
",,No attempt,30 March 2017,22:27
48,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,,Precluded,1 May 2017,11:15
49,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",,Success,15 May 2017,23:21
50,Cape Canaveral,Jason-3,553 kg,Polar orbit,NASA,"Success
",,Failure,3 June 2017,21:07
51,VAFB,SES-9,"5,271 kg",GTO,SES,"Success
",,Failure,23 June 2017,19:10
52,Cape Canaveral,SpaceX CRS-8,"3,136 kg",GTO,NASA,Success,,Success,25 June 2017,20:25
53,Cape Canaveral,JCSAT-14,"4,696 kg",LEO,SKY Perfect JSAT Group,"Success
",,Success,5 July 2017,23:38
54,Cape Canaveral,Thaicom 8,"3,100 kg",LEO,Thaicom,"Success
",,Success,14 August 2017,16:31
55,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",,Failure,24 August 2017,18:51
56,Cape Canaveral,SpaceX CRS-9,"2,257 kg",GTO,NASA,"Success
",,Success,7 September 2017,14:00
57,Cape Canaveral,JCSAT-16,"4,600 kg",LEO,SKY Perfect JSAT Group,"Success
",,Success,9 October 2017,12:37
58,Cape Canaveral,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",,Success,11 October 2017,22:53:00
59,VAFB,SpaceX CRS-10,"2,490 kg",HEO,NASA,"Success
",,Success,30 October 2017,19:34
60,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",,No attempt,15 December 2017,15:36
61,KSC,SES-10,"5,300 kg",LEO,SES,Success,,Success,23 December 2017,01:27
62,KSC,NROL-76,C,GTO,NRO,"Success
",,Success,8 January 2018,01:00
63,KSC,Inmarsat-5 F4,"6,070 kg",LEO,Inmarsat,"Success
",,No attempt,31 January 2018,21:25
64,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",,Success,22 February 2018,14:17
65,KSC,BulgariaSat-1,"3,669 kg",LEO,Bulsatcom,"Success
",,Success,6 March 2018,05:33
66,KSC,Iridium NEXT,"9,600 kg",GTO,Iridium Communications,"Success
",,Success,30 March 2018,14:14
67,VAFB,Intelsat 35e,"6,761 kg",LEO,Intelsat,"Success
",,No attempt,2 April 2018,20:30
68,KSC,SpaceX CRS-12,"3,310 kg",GTO,NASA,"Success
",,Success,18 April 2018,22:51
69,KSC,Formosat-5,475 kg,GTO,NSPO,"Success
",,Success,11 May 2018,20:14
70,VAFB,Boeing X-37B,"4,990 kg",GTO,USAF,"Success
",,Success,22 May 2018,19:47
